Merchant,State,State_Abbreviation,Lat,Lang
G EKSPRES MEDAN NIA,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT MINI SEKSYEN ,SELANGOR     ,SEL,3.1668771,101.5339459
MM Soho Mini Mart -,Tumpat       ,KEL,6.199069,102.169372
Peh Boon Tian - Pas,Pasir Mas    ,KEL,5.959840199999999,102.1937304
Restoran Keng Sian ,Simpang Rengg,JOH,undefined,undefined
Se Desa Mart - Mach,Machang      ,KEL,5.767932999999999,102.2153872
Zanbina Enterprise ,Setiu        ,TER,5.4442314,102.8284772
RAMLY RAMLY HALAL M,PAHANG       ,PAH,3.9743406,102.4380581
RB Sri Pulai Ent - ,Seremban     ,NS ,2.7488865,101.9550858
H&M Senaling Ent - ,Kuala Pilah  ,NS ,undefined,undefined
Hana Growth Legacy ,Ajil         ,TER,undefined,undefined
GIANT SUPERSTORE JE,TRENGGANU    ,TER,5.093634199999999,102.989615
GIANT HYPERMARKET B,SELANGOR     ,SEL,3.0840886,101.5491397
GIANT SUPERSTORE NI,N.SEMBILAN   ,NS ,2.8707497,102.2547919
GIANT MINI ELMINA E,SELANGOR     ,SEL,3.1884702,101.5219053
GIANT MINI PANTAI D,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT MINI PUSAT DA,SELANGOR     ,SEL,3.0254212,101.5712866
GIANT MINI TAMAN GO,SELANGOR     ,SEL,3.509247,101.5248055
Testing Pengumbalan,Kota Belud   ,SAB,6.354451099999999,116.4310448
KOPERASI SMKA MAAHA,MUAR         ,JOH,2.033816,102.565888
Rasyidah Enterprise,Gerik        ,PRK,5.428453999999999,101.1297031
Lasyirah Enterprise,Kuala Berang ,TER,5.0728003,103.0090638
PURE COOKIES       ,PUCHONG      ,SEL,3.0327152,101.618802
RESTORAN KARI KEPAL,PUCHONG      ,SEL,2.9927405,101.6205049
AVM CASH N CARRY EN,MENTAKAB     ,PAH,3.484562,102.350255
GIANT SUPERMARKET S,KUALA LUMPUR ,KUL,3.1319197,101.6840589
